asofdate,unemployed,benefits
2020-09-01,1036582,143005
2019-08-01,893310,111990
2020-03-01,1069285,233416
2019-10-01,843154,145320
2020-05-01,1124486,192411
2020-02-01,1076134,250310
2020-04-01,1071409,184242
2019-01-01,935449,202537
2020-10-01,978895,161270
2019-06-01,842274,104662
2019-07-01,858069,89026
2019-11-01,915516,105165
2019-03-01,949385,203342
2019-09-01,888089,138492
2019-12-01,1018503,154233
2020-06-01,1103701,178799
2020-07-01,1068856,171521
2019-02-01,957532,198712
2019-05-01,869334,142431
2020-01-01,1064526,212468
2019-04-01,928141,167910
2020-08-01,1040852,147524
